coll_year	month	stream	stream_site	depth	pH	conductance	salinity	flow	nitrate 	phosphorous	season	site_type	stream_order	richness	rock_size	cover
2014	5_August	TB	TBD	3.24632069	6.775123739	82.23760167	0.079353023	0.162275382	0.05559598	0.009971524	late	reference	3	6.428108037	131.9556331	2.83355835
2014	6_September	PT	PTD	2.736427388	6.655210044	284.2802422	0.10580403	0.108183588	0.035004876	0.530485069	late	urban	3	0.756248004	570.7329166	0
2015	6_September	PT	PTU	3.858192653	7.094893591	136.6633193	0.063482418	NA	0.015911775	0.086438154	late	rural	2	1.512496009	228.5660073	3.020104387
2015	5_August	PC	PCU	3.229324247	6.495325118	235.5880514	0.050785935	NA	0.023393553	0.312315107	late	rural	2	1.512496009	394.1306408	2.882108289
2014	5_August	CC	CCU	3.688228219	7.924296644	101.0641078	0.232768867	0.162275382	0.030886656	0.077777886	late	rural	3	8.318728047	156.5112866	2.909999426
2014	2_May	LC	LCD	3.263317134	7.354706595	231.9939002	0.322702292	0.270458969	0.086482636	0.077777886	early	urban	3	0.756248004	378.0082421	0.914489947
2015	2_May	PC	PCD	3.518263785	7.734433295	305.4172741	0.111094232	NA	0.011300398	0.10151111	early	urban	2	0.378124002	483.051871	3.252004929
2014	2_May	PC	PCD	2.583459398	7.934289452	207.6905924	NA	0.054091794	0.012354662	0.034900333	early	urban	2	2.268744013	366.9705998	3.250094032
2015	1_April	PT	PTD	2.022576765	6.875051817	146.8467476	0.253929673	NA	0.010652808	0.380731726	early	urban	3	0	278.5454435	2.870902817
2014	1_April	FH	FHD	0.764839953	6.455353887	219.4999462	0.121674635	0.324550763	0.016472883	0.210399153	early	urban	2	0.378124002	501.0345466	0
2014	5_August	SC	SCD	3.94317487	7.184828861	163.6194531	0.100513829	0.162275382	0.021620659	0.004985762	late	reference	3	6.806232039	246.9207382	0
2014	4_July	PT	PTU	3.348299351	7.994246299	151.4677991	0.158706045	0.054091794	0.067950642	0.0418804	late	rural	2	3.781240022	241.0918709	1.842201922
2014	3_June	PT	PTU	2.787416718	7.784397334	106.0274594	0.179866851	0.108183588	0.026768435	0.346011878	early	rural	2	6.049984035	183.0512353	2.459006988
